brand,model,trim,year,body_type,fuel_type,transmission,engine_size,seat_count,drivetrain,price,mileage,origin,color,city,posted_date,source,url
MITSUBISHI,XPANDER,Premium 1.5 AT,2024,MPV,Xăng,Tự động,,7,,546000000,26000,Nhập khẩu,,Tp Hồ Chí Minh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-huyen-cu-chi-tp-ho-chi-minh/132897663.htm
TOYOTA,CAMRY,2.5Q,2014,Sedan,Xăng,Tự động,0.18,5,FWD,496000000,79000,Trong nước,,Tp Hồ Chí Minh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-binh-thanh-tp-ho-chi-minh/132897629.htm
TOYOTA,VIOS,E,2015,Sedan,Xăng,Số sàn,,4,,215000000,,Nhập khẩu,,Khánh Hòa,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-cam-ranh-khanh-hoa/132897623.htm
BMW,3 SERIES,320i,2015,Sedan,Xăng,Tự động,0.18,4,RWD,415000000,139000,Nhập khẩu,,Hà Nội,14-04-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/131535068.htm
MITSUBISHI,PAJERO,GLS 3.0 AT,2011,SUV,Xăng,Tự động,0.18,7,AWD,550000000,110000,Nhập khẩu,,Tp Hồ Chí Minh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/132897618.htm
FORD,ECOSPORT,Titanium 1.0 EcoBoost,2020,,Xăng,Tự động,,,,375000000,82000,,,Tp Hồ Chí Minh,14-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-tan-binh-tp-ho-chi-minh/132395025.htm
LEXUS,NX,300h,2017,SUV,Xăng,Tự động,0.23,5,AWD,1260000000,78000,,,Tp Hồ Chí Minh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/132897601.htm
MITSUBISHI,ATTRAGE,,2018,,Xăng,Số sàn,,,,155000000,130000,,,Kiên Giang,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-rach-gia-kien-giang/132757581.htm
HYUNDAI,IONIQ 5,,2025,,Điện,Tự động,,5,,1300000000,,Nhập khẩu,,Tp Hồ Chí Minh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-6-tp-ho-chi-minh/132897593.htm
MERCEDES BENZ,GLC,200,2021,SUV,Xăng,Tự động,0.2,5,RWD,1189000000,32000,Trong nước,,Tp Hồ Chí Minh,08-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-7-tp-ho-chi-minh/131523335.htm
HYUNDAI,ACCENT,1.4 AT,2012,Sedan,Xăng,Tự động,0.11,5,FWD,239000000,180000,Nhập khẩu,,Bình Dương,05-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-huyen-bac-tan-uyen-binh-duong/132747286.htm
SUZUKI,SWIFT,,2025,,Hybrid,Tự động,,5,,569000000,,Nhập khẩu,,Bình Dương,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thuan-an-binh-duong/132897582.htm
MITSUBISHI,XPANDER CROSS,AT,2021,MPV,Xăng,Tự động,,7,,468000000,21000,,,Tp Hồ Chí Minh,24-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/132518735.htm
TOYOTA,YARIS CROSS,HEV,2023,SUV,Xăng,Tự động,,5,,680000000,13000,,,Tp Hồ Chí Minh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-tan-phu-tp-ho-chi-minh/132897577.htm
CHEVROLET,SPARK,Van 0.8,2015,Hatchback,Xăng,Số sàn,51,5,FWD,75000000,100000,Trong nước,,Cần Thơ,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-ninh-kieu-can-tho/132897576.htm
MERCEDES BENZ,GLS CLASS,,2025,SUV,Xăng,Tự động,,7,,5699000000,25,Nhập khẩu,,Tp Hồ Chí Minh,14-04-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-binh-thanh-tp-ho-chi-minh/131811428.htm
FORD,RANGER,Wildtrak 2.0L 4x4 Biturbo,2020,Bán tải,Xăng,Tự động,,5,,499000000,80000,Nhập khẩu,,Tp Hồ Chí Minh,07-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-8-tp-ho-chi-minh/132796304.htm
HÃNG KHÁC,DÒNG KHÁC,,2026,SUV,Xăng,Tự động,,5,,469100000,,Nhập khẩu,,Tây Ninh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-tay-ninh-tay-ninh/132897559.htm
TOYOTA,RAIZE,,2025,,Xăng,Tự động,,,,505000000,4335,Nhập khẩu,,Đà Nẵng,14-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-hai-chau-da-nang/132351357.htm
TOYOTA,WIGO,1.2 AT,2021,Hatchback,Xăng,Tự động,87,5,FWD,320000000,59568,,,Tp Hồ Chí Minh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-12-tp-ho-chi-minh/132897545.htm
TOYOTA,CAMRY,2.5Q,2014,,Xăng,Tự động,0.18,5,FWD,496000000,79000,,,Tp Hồ Chí Minh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-binh-thanh-tp-ho-chi-minh/132897531.htm
CHEVROLET,TRAILBLAZER,LT 2.5L 4x2 MT,2018,,Dầu,Tự động,,7,,435000000,102000,Nhập khẩu,,Đồng Nai,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-long-khanh-dong-nai/132749111.htm
HONDA,CR V,L,2018,SUV,Xăng,Tự động,0.19,7,FWD,650000000,138000,Nhập khẩu,,Đà Nẵng,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-ngu-hanh-son-da-nang/132897500.htm
TOYOTA,HILUX,,2021,Bán tải,Dầu,Tự động,,5,,545000000,73000,,,Tp Hồ Chí Minh,07-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-go-vap-tp-ho-chi-minh/132787335.htm
MERCEDES BENZ,V CLASS,V220d CDI,2016,MPV,Dầu,Tự động,,7,,688000000,127000,,,Tp Hồ Chí Minh,14-04-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/130781651.htm
FORD,LASER,GHIA 1.8 AT,2004,Sedan,Xăng,Tự động,,5,,118000000,135000,Trong nước,,Tp Hồ Chí Minh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-12-tp-ho-chi-minh/132856992.htm
TOYOTA,AVANZA PREMIO,,2023,MPV,Xăng,Số sàn,,7,,375000000,88408,Trong nước,,Vĩnh Long,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-huyen-long-ho-vinh-long/132875123.htm
