"brand","model","trim","year","body_type","fuel_type","transmission","engine_size","seat_count","drivetrain","price","mileage","origin","color","city","posted_date","source","url","price_raw","price_scale","age","age_group","is_high_price","is_high_mileage"
"BENTLEY","FLYING","SPUR V8",2022,"Sedan","Xăng","Automatic","4","5","RFD - Dẫn động cầu sau",1.35e+10,15000,"Nhập khẩu","Xanh","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-bentley-flying_spur-v8-2022-6541588",1.35e+10,"Original scale",4,"4-7 nam",TRUE,FALSE
"LEXUS","LM","500H",2025,"Van/Minivan","Hybrid","Automatic","2.4","6","AWD - 4 bánh toàn thời gian",8.6e+09,500,"Nhập khẩu","Xám","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-lexus-lm-500h-2025-6493058",8.6e+09,"Original scale",1,"0-3 nam",TRUE,FALSE
"BMW","5","SERIES 520I",2018,"Sedan","Xăng","Automatic","1.6","5","RFD - Dẫn động cầu sau",9.59e+08,52000,"Nhập khẩu","Đen","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-bmw-5_series-520i-2018-6813250",9.59e+08,"Original scale",8,"8-12 nam",FALSE,FALSE
"BMW","3","SERIES 330I M SPORT",2022,"Sedan","Xăng","Automatic","2","5","RFD - Dẫn động cầu sau",1.299e+09,62000,"Lắp ráp trong nước","Trắng","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-bmw-3_series-330i-m-sport-2022-6711154",1.299e+09,"Original scale",4,"4-7 nam",FALSE,FALSE
"PORSCHE","TAYCAN","TURBO",2021,"Sedan","Điện","Automatic",NA,"4","AWD - 4 bánh toàn thời gian",5.7e+09,22000,"Nhập khẩu","Đen","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-porsche-taycan-turbo-2021-6493064",5.7e+09,"Original scale",5,"4-7 nam",TRUE,FALSE
"SUZUKI","SUPER","CARRY VAN BLIND VAN",2023,"Van/Minivan","Xăng","Manual","1","2","RFD - Dẫn động cầu sau",2e+08,430000,"Lắp ráp trong nước","Trắng","TP HCM","05-06-2026","bonbanh.com","https://bonbanh.com/xe-suzuki-super_carry_van-blind-van-2023-6834500",2e+08,"Original scale",3,"0-3 nam",FALSE,TRUE
"MITSUBISHI","OUTLANDER","BẢN THƯỜNG",2023,"SUV","Xăng","Automatic","2","7","FWD - Dẫn động cầu trước",6.55e+08,14000,"Lắp ráp trong nước","Đỏ","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-mitsubishi-outlander-2.0-cvt-2023-6808435",6.55e+08,"Original scale",3,"0-3 nam",FALSE,FALSE
"MERCEDES BENZ","E","CLASS E250",2016,"Sedan","Xăng","Automatic","2","5","RFD - Dẫn động cầu sau",6.99e+08,120000,"Lắp ráp trong nước","Bạc","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-mercedes_benz-e_class-e250-2016-6825731",6.99e+08,"Original scale",10,"8-12 nam",FALSE,TRUE
"TOYOTA","LAND","CRUISER V6",2021,"SUV","Xăng","Automatic","3.4","7","AWD - 4 bánh toàn thời gian",4.299e+09,90000,"Nhập khẩu","Trắng","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2021-6828779",4.299e+09,"Original scale",5,"4-7 nam",TRUE,TRUE
"MERCEDES BENZ","GLC","300 4MATIC",2023,"SUV","Xăng","Automatic","2","5","AWD - 4 bánh toàn thời gian",2.099e+09,28000,"Lắp ráp trong nước","Đen","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2023-6830202",2.099e+09,"Original scale",3,"0-3 nam",TRUE,FALSE
"BMW","X3","XDRIVE20I",2020,"SUV","Xăng","Automatic","2","5","AWD - 4 bánh toàn thời gian",1.158e+09,60000,"Nhập khẩu","Trắng","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-bmw-x3-xdrive20i-2020-6786122",1.158e+09,"Original scale",6,"4-7 nam",FALSE,FALSE
"MERCEDES BENZ","E","CLASS E250",2011,"Sedan","Xăng","Automatic","1.8","5","RFD - Dẫn động cầu sau",3.18e+08,110000,"Lắp ráp trong nước","Đen","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-mercedes_benz-e_class-e250-2011-6833374",3.18e+08,"Original scale",15,"Tren 12 nam",FALSE,TRUE
"MERCEDES BENZ","GLC","200 4MATIC",2022,"SUV","Xăng","Automatic","2","5","AWD - 4 bánh toàn thời gian",1.338e+09,60000,"Lắp ráp trong nước","Xanh","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-mercedes_benz-glc-200-4matic-2022-6816346",1.338e+09,"Original scale",4,"4-7 nam",FALSE,FALSE
"MERCEDES BENZ","GLC","200",2021,"SUV","Xăng","Automatic","2","5","RFD - Dẫn động cầu sau",1.099e+09,83000,"Lắp ráp trong nước","Trắng","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-mercedes_benz-glc-200-2021-6833445",1.099e+09,"Original scale",5,"4-7 nam",FALSE,TRUE
"TOYOTA","RAIZE","G",2022,"SUV","Xăng","Automatic","1","5","FWD - Dẫn động cầu trước",4.7e+08,31000,"Nhập khẩu","Trắng","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-toyota-raize-g-1.0-cvt-2022-6821367",4.7e+08,"Original scale",4,"4-7 nam",FALSE,FALSE
"MERCEDES BENZ","GLC","300 4MATIC",2021,"SUV","Xăng","Automatic","2","5","AWD - 4 bánh toàn thời gian",1.495e+09,76000,"Lắp ráp trong nước","Đen","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2021-6755303",1.495e+09,"Original scale",5,"4-7 nam",TRUE,FALSE
"LEXUS","GX","460",2015,"SUV","Xăng","Automatic","4.6","7","AWD - 4 bánh toàn thời gian",2.139e+09,110000,"Nhập khẩu","Trắng","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-lexus-gx-460-2015-6780025",2.139e+09,"Original scale",11,"8-12 nam",TRUE,TRUE
"MAZDA","3","S",2014,"Sedan","Xăng","Automatic","1.6","5","FWD - Dẫn động cầu trước",2.89e+08,120000,"Lắp ráp trong nước","Trắng","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-mazda-3-s-1.6-at-2014-6740387",2.89e+08,"Original scale",12,"8-12 nam",FALSE,TRUE
"KIA","CARNIVAL","SIGNATURE D",2021,"Van/Minivan","Dầu","Automatic","2.2","7","FWD - Dẫn động cầu trước",9.89e+08,120000,"Lắp ráp trong nước","Trắng","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-kia-carnival-signature-2.2d-2021-6810495",9.89e+08,"Original scale",5,"4-7 nam",FALSE,TRUE
"KIA","SONET","PREMIUM",2022,"Crossover","Xăng","Automatic","1.5","5","FWD - Dẫn động cầu trước",5.2e+08,44000,"Lắp ráp trong nước","Trắng","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-kia-sonet-premium-1.5-at-2022-6771191",5.2e+08,"Original scale",4,"4-7 nam",FALSE,FALSE
